,index,word,sum_prob
56,425,expressionniste,2.962326431811852
57,437,ambigu,2.9593130785761135
58,442,ploutocratique,2.9407403631674485
59,449,néo-guinéen,2.8826629637906747
60,460,osiériste,2.9816156419651794
61,476,fanfreluche,2.8845101259282644
62,487,marmottier,2.8227300355839353
63,489,quartier-maître,2.9373753030141767
64,496,star,2.9350034740114883
65,503,fraiseur,2.948825669431292
66,521,gargantuiste,2.950930780264024
67,541,suprême,2.8853629820745637
68,543,abbesse,2.9693139266376
69,545,phraséologue,2.9643027703944345
70,547,rythmicien,2.9915453949497435
71,552,thète,2.962594265813628
72,560,fil-de-feriste,2.8362084476014773
73,621,ravi,2.975003816145955
74,628,psy,2.966678094966044
75,633,sectaire,2.9638056538283926
76,658,sous-ingénieur,2.9260967243689318
77,672,truble,2.8271899069509088
78,680,spolié,2.963972690739644
79,682,coulissier,2.9135068127739365
80,688,cureton,2.906600347167421
81,701,bouvillon,2.911207346480202
82,713,attractionnaire,2.9173856467452266
83,714,néo-hégélien,2.80810322437523
84,721,proprio,2.9486023617536055
85,723,sexologique,2.820629329988237
86,725,néo-natalogiste,2.9790582873174087
87,729,galipote,2.932711184651177
88,733,portraitiste,2.985096070383979
89,746,walloniste,2.9902493244355988
90,759,protectionniste,2.8690937454089975
91,772,loveur,2.9822611596283477
92,773,scotiste,2.8827247263859728
93,774,aciériste,2.9775910978666835
94,806,bouchonnier,2.9808624296284107
95,812,garnement,2.968223785119698
96,813,balanceur,2.8234836849927722
97,824,métallographe,2.956142247506988
98,833,bobineur,2.956517857364319
99,854,voyoucrate,2.9429363130302844
100,881,carrossier,2.9688616172609477
101,904,cornemuseur,2.9330872645277033
102,917,hétérogéniste,2.917500611673988
103,924,pote,2.9591118872574516
104,944,coqueleur,2.8843977586345355
105,960,pétauriste,2.9104935756233687
106,963,gérontocrate,2.9631917712125277
107,980,tarin,2.923903890419407
108,981,instrumentaliste,2.9779347875076265
109,987,agrimenseur,2.936900649870491
110,988,narco-analyste,2.985744142206944
111,990,singulier,2.885037974638203
112,993,mignonnet,2.896869227105142
113,1002,célestin,2.964743321862097
114,1020,superstar,2.939579446239954
115,1028,sans-dieu,2.948283118657337
116,1057,bouté,2.824536982759619
117,1059,illatif,2.8457433904738982
118,1063,pop-star,2.980791935607169
119,1064,satiriste,2.992042085174331
120,1067,violiste,2.985836169581975
121,1083,otologiste,2.9849298143916787
122,1105,mécaniste,2.9811011497409106
123,1106,théurge,2.9684406896070796
124,1110,sent-bon,2.89519865960035
125,1111,radariste,2.9845010598315644
126,1122,chairman,2.805077360686327
127,1128,laceur,2.903468343414072
128,1133,manipulaire,2.803563635815605
129,1134,bimbelotier,2.9311991568411715
130,1137,newtonien,2.902558627481818
131,1139,prince-président,2.9731000191595536
132,1144,signor,2.82403071024661
133,1150,concitoyen,2.9854897852903277
134,1152,moulureur,2.9623581822537166
135,1165,orléaniste,2.9905071142702955
136,1184,clergyman,2.9092924301618317
137,1185,ecclésiastique,2.8870610045221423
138,1200,phalanstérien,2.890707548047743
139,1208,classiciste,2.9852328083346147
140,1213,arrière-petit-cousin,2.9559812421671454
141,1220,vériste,2.986618705771738
142,1222,proquesteur,2.8610141690352187
143,1250,rhétoriqueur,2.986993790794468
144,1255,aristarque,2.910929224709219
145,1259,libraire-papetier,2.8854875734388123
146,1269,rassis,2.922110148376129
147,1291,gauleiter,2.9128793103823414
148,1292,gommeux,2.9828298171547423
149,1295,tennisman,2.982204891564465
150,1311,graisseur,2.8792763851068552
151,1319,montaniste,2.9823975829907297
152,1344,spéléonaute,2.9847916070949037
153,1353,écrouelleux,2.8462222186282133
154,1373,bleusaille,2.8044243120228103
155,1377,agace,2.9443795874783
156,1401,modalisateur,2.9551740354401037
157,1422,larbin,2.963112996888359
158,1423,galvaudeux,2.943998995269504
159,1428,fan,2.973180997711588
160,1461,primeur,2.921825134075145
161,1462,corroyeur,2.973819043984425
162,1471,pyrotechnicien,2.9613881198366836
163,1501,légionnaire,2.9451140453598734
164,1503,peignier,2.9035962655220975
165,1519,gemmologiste,2.941018526649321
166,1520,poétique,2.8571555714661945
167,1521,nématologiste,2.9777600690255195
168,1536,morphologiste,2.976090874672452
169,1552,cracovien,2.948192280926994
170,1554,luciférien,2.940883791680117
171,1556,chanoine,2.905046903160299
172,1577,oppositionniste,2.968082771762445
173,1580,plafonneur,2.9834927806783345
174,1585,frotte-parquet,2.868608168909813
175,1589,subjectiviste,2.987116533584482
176,1598,moque,2.873179553112286
177,1614,donatiste,2.885442186292363
178,1619,mozartien,2.973542986509682
179,1625,pastelliste,2.9290985472451423
180,1628,connu,2.9610081630007814
181,1640,nativiste,2.9902148557134662
182,1645,arthritique,2.867682920064471
183,1652,blondinet,2.9413707839666112
184,1658,tahitien,2.918163765815066
185,1674,asiarque,2.943998213050717
186,1681,amentifère,2.866141899726955
187,1702,bibliophile,2.9840044667234302
188,1704,satineur,2.975386315946574
189,1724,behavioriste,2.9698665518353033
190,1765,poétastre,2.949312041173589
191,1777,ruiniste,2.8544096961921293
192,1779,coalitionniste,2.825941247117427
193,1784,lyrique,2.8346128905338586
194,1790,bio-bibliographique,2.838987920906923
195,1795,branlant,2.9712853839256406
196,1819,industrialiste,2.9865147486912047
197,1837,brunisseur,2.9143948175259426
198,1846,sanhédriste,2.8134845152844106
199,1847,gravatier,2.916265914772696
200,1855,météorolabile,2.8076792515571616
201,1857,babouviste,2.9860251724822704
202,1887,panetier,2.9546810819821663
203,1888,olivétain,2.829534460584508
204,1894,laïciste,2.9912019869163085
205,1906,commetteur,2.900388773514277
206,1911,composteur,2.8553463165890602
207,1931,garde-chasse,2.971595137884644
208,1946,gaffe,2.9075419898410884
209,1953,kinésithérapeute,2.948194079836495
210,1984,trécentiste,2.8142656088756164
211,1994,tartouilleur,2.8459768982324265
212,1996,tecticien,2.9095540669014914
213,1998,polysémique,2.9665601941509787
214,2012,déliasseuse,2.9401706086031245
215,2013,échevinage,2.803165194650018
216,2022,thanatologue,2.989530818631758
217,2028,schappiste,2.8609471980369134
218,2042,marginaliste,2.9710531274472567
219,2047,fumiste,2.9763012651506155
220,2050,cartonneur,2.9393760052067575
221,2054,novillero,2.8150799446698134
222,2057,bourgadier,2.956595768232841
223,2065,gouvernementiste,2.990394267202584
224,2073,limeur,2.929615514146163
225,2076,sycophante,2.9695016435409123
226,2077,sibylliste,2.9286769211522063
227,2087,tout-venant,2.846760272705234
228,2089,sur-moi,2.9348828017835378
229,2091,métivier,2.9315235138604647
230,2095,pied-noir,2.9710571679807414
231,2100,antécesseur,2.916229891618242
232,2140,maquisard,2.980509731167673
233,2149,blondin,2.8955570457316933
234,2152,national-socialiste,2.9333948064380944
235,2162,pharmacologiste,2.975519449443479
236,2168,orthoptiste,2.958856062345045
237,2172,saurisseur,2.953315517481107
238,2184,gavroche,2.9332005208722958
239,2205,matador,2.920445195628947
240,2210,treiziste,2.9689986724866313
241,2211,bouilli,2.8523351726159905
242,2226,répandeur,2.916571586306242
243,2229,abat-faim,2.941307791158281
244,2234,tuileur,2.9782677791129677
245,2242,cellérier,2.944047931286647
246,2246,moinillon,2.93544184115272
247,2258,jacobin,2.9855706535360507
248,2275,nature-mortiste,2.8453439427782183
249,2325,déchaîné,2.8744774394244783
250,2327,gaucho,2.9405606943076017
251,2342,léniniste,2.9656472599083
252,2345,sacrificateur,2.937125037379824
253,2360,pogromiste,2.9864351620265177
254,2367,moulineur,2.957432998324736
255,2375,administrant,2.8555451462461567
256,2378,immanentiste,2.98181701149287
257,2416,arcadien,2.9477376643933613
258,2421,balzacien,2.980531126592462
259,2427,repousseur,2.8186152102983204
260,2429,gaucherie,2.8791012104971294
261,2437,dégorgeur,2.9545260888553853
262,2448,jazzman,2.9831623141822843
263,2468,vaticaniste,2.9814327723620555
264,2470,lockiste,2.937644366449808
265,2472,lunologue,2.9876387568391323
